geography code,total,W1,W2,W3,W4,M1,M2,M3,M4,A1,A2,A3,A4,A5,B1,B2,B3,O1,O2
E02002559,8842,8495,18,39,62,30,10,29,21,51,7,6,20,19,15,4,5,7,4
E02002560,5997,5804,13,10,43,24,1,18,10,32,0,7,2,12,3,11,1,0,6
E02002561,5741,5514,20,3,67,28,1,16,11,14,13,5,31,10,4,2,0,2,0
E02002562,6066,5655,4,9,166,42,7,41,16,37,7,13,13,23,17,6,2,3,5
E02002563,5463,5268,13,2,49,38,7,8,8,14,2,0,12,16,11,7,2,1,5
E02002564,9502,9221,12,6,95,29,3,16,13,54,0,6,6,14,1,8,4,7,7
E02002565,5450,5132,16,2,112,24,0,13,17,49,3,7,17,19,6,1,2,14,16
E02002566,6918,5623,33,28,377,27,4,29,36,121,41,385,46,70,40,19,6,16,17
E02002567,7254,6734,17,69,136,40,23,28,6,43,3,23,18,43,25,13,4,7,22
E02002568,5905,5569,29,8,116,23,8,24,22,35,14,0,12,18,7,1,1,8,10
E02002569,9095,8637,42,20,80,20,3,26,17,105,15,6,29,42,3,7,9,19,15
E02002570,8213,7453,29,90,216,43,6,20,16,73,19,41,80,76,19,8,3,7,14
E02002571,6516,5973,29,36,260,35,11,20,9,34,4,2,9,36,36,8,3,0,11
E02002572,6312,5838,24,12,158,44,7,36,23,39,16,9,30,39,11,9,3,10,4
E02002573,8290,7982,29,16,82,16,6,26,11,25,1,13,24,25,8,1,1,11,13
E02004290,5981,5830,7,8,45,9,0,11,4,4,18,10,25,6,1,0,0,2,1
E02004291,6787,6660,14,2,45,2,0,15,4,3,9,2,12,14,2,0,1,0,2
E02004292,7916,7659,10,27,60,27,6,15,12,38,22,13,13,8,0,1,2,2,1
E02004293,9379,9133,19,7,77,10,14,13,10,23,7,9,24,13,10,1,0,6,3
E02004294,8484,8269,22,0,52,13,5,18,9,25,1,0,31,16,10,2,1,0,10
E02004295,7537,7353,18,0,61,20,10,22,6,25,2,0,5,12,1,0,0,1,1
E02004296,8033,7809,19,2,70,10,3,14,15,32,0,8,19,15,2,3,2,9,1
E02004297,7900,7753,20,0,47,10,7,11,5,0,3,0,14,18,1,1,1,4,5
E02004298,9703,9489,19,2,76,17,2,17,16,9,17,1,10,9,3,5,2,3,6
E02004299,8474,8301,18,2,57,10,1,6,10,11,6,2,19,17,1,2,1,3,7
E02004300,7686,7548,11,10,45,10,2,6,7,7,0,0,7,19,1,6,1,1,5
E02004301,8894,8733,17,3,54,19,1,6,3,13,6,0,19,8,8,0,0,2,2
E02004302,7747,7579,7,20,31,20,3,5,5,27,7,6,12,3,2,8,2,8,2
E02004303,11457,10892,31,9,368,25,3,29,16,19,5,13,17,20,2,1,3,0,4
E02004304,8892,8586,8,0,185,23,1,8,6,22,5,6,23,13,0,2,0,1,3
E02004305,8640,8331,21,0,206,14,2,21,3,11,4,1,1,17,1,3,0,0,4
E02004306,5789,5609,32,9,60,14,2,9,9,6,2,5,7,11,8,2,0,3,1
E02004307,6570,6408,24,12,72,5,6,5,8,1,1,1,7,9,8,1,0,2,0
E02004308,7819,7263,39,16,129,24,11,44,27,65,26,11,33,48,12,17,9,34,11
E02004309,5902,5347,22,7,150,14,7,31,32,69,15,10,52,75,19,6,3,32,11
E02004310,7962,7729,26,0,90,15,1,12,2,22,0,1,27,15,1,2,0,16,3
E02004311,9108,8828,20,40,106,12,3,15,1,29,4,0,15,15,11,3,0,4,2
E02004312,7549,7257,28,1,121,6,10,21,5,25,1,0,30,17,16,0,4,0,7
E02004313,6684,5910,42,3,318,28,7,27,21,41,12,6,134,38,24,3,6,36,28
E02004314,12248,10061,108,4,674,44,24,148,76,202,50,9,454,171,83,11,4,80,45
E02004315,10184,8859,83,11,476,18,22,76,57,92,25,27,142,112,45,11,13,95,20
E02004316,5683,5537,14,3,69,5,1,6,9,10,0,0,14,5,6,2,2,0,0
E02004317,7663,7454,12,1,65,19,7,13,16,7,6,0,8,17,10,2,5,9,12
E02004318,6099,5664,19,9,142,5,14,24,5,34,28,4,32,75,2,1,2,32,7
E02004319,7474,7295,11,11,61,5,6,12,6,20,4,1,16,15,0,2,0,9,0
E02004320,8956,8766,16,1,77,1,8,9,10,31,13,1,9,4,1,1,0,1,7
E02004321,8345,7925,11,4,250,11,1,15,12,39,3,14,17,10,9,2,1,0,21
E02004322,8490,8310,8,10,54,21,6,15,6,16,0,6,7,13,7,0,0,1,10
E02004323,7906,7744,10,5,45,14,5,20,2,32,0,2,5,10,2,1,0,2,7
E02004324,5732,5616,9,2,57,9,0,8,6,9,1,0,3,7,2,0,0,0,3
E02004325,8722,8537,16,3,65,18,14,11,9,13,7,1,12,4,9,1,0,2,0
E02004326,6190,6037,7,15,38,9,0,7,10,6,30,0,13,5,3,0,1,0,9
