geography code,total,1,2,3,4+
E02002559,3646,858,1410,628,750
E02002560,2511,621,941,464,485
E02002561,2507,644,1048,412,403
E02002562,2933,1242,871,430,390
E02002563,2343,701,887,380,375
E02002564,4137,1326,1362,702,747
E02002565,2667,1027,947,373,320
E02002566,3475,1676,1028,375,396
E02002567,3209,1073,1117,490,529
E02002568,2634,910,914,345,465
E02002569,3912,1009,1641,576,686
E02002570,3723,1405,1239,542,537
E02002571,2758,797,970,449,542
E02002572,2727,897,884,461,485
E02002573,3488,915,1398,564,611
E02004290,2518,612,975,445,486
E02004291,3131,1094,1068,534,435
E02004292,3523,996,1418,531,578
E02004293,4412,1751,1344,678,639
E02004294,3655,978,1396,628,653
E02004295,3213,838,1248,554,573
E02004296,3529,1052,1302,611,564
E02004297,3550,1037,1398,610,505
E02004298,4178,1149,1661,666,702
E02004299,3758,1165,1399,604,590
E02004300,3491,1193,1203,563,532
E02004301,3913,1290,1319,672,632
E02004302,3530,1189,1255,575,511
E02004303,5253,1824,1814,848,767
E02004304,3896,1211,1365,669,651
E02004305,3816,1211,1317,644,644
E02004306,2681,817,1095,400,369
E02004307,2878,897,991,536,454
E02004308,2987,806,1205,478,498
E02004309,2769,982,1008,387,392
E02004310,3526,1051,1316,611,548
E02004311,4118,1298,1549,629,642
E02004312,3409,917,1497,520,475
E02004313,2957,1001,991,452,513
E02004314,2363,778,679,273,633
E02004315,3845,918,1338,696,893
E02004316,2644,901,950,427,366
E02004317,3554,1271,1226,547,510
E02004318,2666,842,953,415,456
E02004319,3293,998,1192,542,561
E02004320,3851,1063,1429,688,671
E02004321,3662,1198,1216,679,569
E02004322,3769,1257,1258,658,596
E02004323,3337,924,1182,626,605
E02004324,2588,788,989,405,406
E02004325,3722,1230,1170,629,693
E02004326,2713,914,882,435,482
E02004327,2913,1020,1016,450,427
E02004328,3115,891,1037,612,575
E02004329,2807,711,1047,508,541
E02004330,2742,901,1028,426,387
E02004331,3084,988,1042,518,536
E02004332,3113,874,1105,571,563
E02004333,3195,892,1249,555,499
E02004334,3192,936,1133,554,569
E02004335,2929,1119,937,429,444
E02004336,3264,1223,1151,449,441
E02004337,4037,1220,1477,691,649
E02004338,3029,975,1059,507,488
