geography code,total,1,2,3,4,5,6+
E02002559,3646,2,26,118,393,736,2371
E02002560,2511,1,14,40,420,827,1209
E02002561,2507,1,8,117,472,702,1207
E02002562,2933,6,85,459,814,757,812
E02002563,2343,3,14,121,543,733,929
E02002564,4137,6,43,447,747,1218,1676
E02002565,2667,6,19,89,768,869,916
E02002566,3475,82,163,648,848,859,875
E02002567,3209,7,67,225,899,1016,995
E02002568,2634,17,88,270,343,259,1657
E02002569,3912,2,11,154,402,559,2784
E02002570,3723,15,86,540,945,1054,1083
E02002571,2758,3,33,222,717,978,805
E02002572,2727,2,51,241,639,794,1000
E02002573,3488,1,28,140,443,778,2098
E02004290,2518,1,41,90,390,651,1345
E02004291,3131,3,25,202,933,1119,849
E02004292,3523,10,23,274,569,910,1737
E02004293,4412,14,51,720,779,1673,1175
E02004294,3655,4,25,141,853,714,1918
E02004295,3213,0,18,144,712,830,1509
E02004296,3529,8,31,228,732,1218,1312
E02004297,3550,2,18,132,843,1024,1531
E02004298,4178,5,12,105,748,1086,2222
E02004299,3758,5,38,138,1006,1102,1469
E02004300,3491,2,32,87,1222,1032,1116
E02004301,3913,4,36,148,1274,1281,1170
E02004302,3530,5,34,210,1007,1065,1209
E02004303,5253,12,85,285,1533,1387,1951
E02004304,3896,4,44,108,876,1357,1507
E02004305,3816,4,36,118,859,1263,1536
E02004306,2681,3,15,91,488,691,1393
E02004307,2878,2,18,113,764,790,1191
E02004308,2987,0,18,117,475,514,1863
E02004309,2769,0,13,326,650,776,1004
E02004310,3526,1,22,228,755,1090,1430
E02004311,4118,12,27,258,1059,1216,1546
E02004312,3409,3,36,177,562,677,1954
E02004313,2957,3,28,307,635,1078,906
E02004314,2363,14,68,334,493,333,1121
E02004315,3845,3,23,188,416,550,2665
E02004316,2644,1,27,108,634,1023,851
E02004317,3554,11,62,310,781,1167,1223
E02004318,2666,0,23,136,611,776,1120
E02004319,3293,2,18,177,797,1048,1251
E02004320,3851,5,44,370,631,1244,1557
E02004321,3662,3,37,435,803,1106,1278
E02004322,3769,3,37,312,1340,1239,838
E02004323,3337,1,31,236,825,948,1296
E02004324,2588,3,15,159,567,859,985
E02004325,3722,5,26,301,1330,1117,943
E02004326,2713,3,28,240,689,868,885
E02004327,2913,9,40,186,1141,912,625
E02004328,3115,1,22,181,634,1249,1028
E02004329,2807,6,36,175,309,950,1331
E02004330,2742,2,27,210,808,899,796
E02004331,3084,2,21,249,744,1029,1039
E02004332,3113,3,15,141,631,891,1432
E02004333,3195,2,14,146,655,859,1519
E02004334,3192,4,16,192,819,1025,1136
E02004335,2929,8,47,239,926,926,783
E02004336,3264,8,50,269,1081,1000,856
E02004337,4037,2,42,244,1060,1122,1567
E02004338,3029,2,29,218,796,940,1044
E02004339,2997,0,34,172,465,588,1738
E02004340,4812,6,65,358,1527,1462,1394
E02004341,3474,1,29,106,479,870,1989
E02004342,2401,2,16,130,509,1231,513
E02004343,2492,1,19,136,627,731,978
E02004344,3244,3,24,151,662,880,1524
E02004345,5755,6,32,247,1147,1515,2808
