geography code,total,OW,SO,SR,PR
E02002559,3646,1211,1630,162,47
E02002560,2511,922,1187,73,18
E02002561,2507,931,1060,286,15
E02002562,2933,570,880,686,25
E02002563,2343,669,885,557,29
E02002564,4137,996,1526,1233,27
E02002565,2667,724,1002,29,34
E02002566,3475,511,773,558,48
E02002567,3209,882,885,890,30
E02002568,2634,996,983,192,24
E02002569,3912,2089,1410,141,46
E02002570,3723,806,1148,823,40
E02002571,2758,641,999,648,24
E02002572,2727,571,806,699,21
E02002573,3488,1291,1483,251,34
E02004290,2518,904,1232,178,15
E02004291,3131,771,1184,714,28
E02004292,3523,1510,1308,365,37
E02004293,4412,833,1417,1741,41
E02004294,3655,1533,1680,36,31
E02004295,3213,1026,1276,573,33
E02004296,3529,983,1376,843,38
E02004297,3550,1184,1573,431,39
E02004298,4178,1607,1672,472,39
E02004299,3758,1090,1458,689,31
E02004300,3491,927,1094,1039,23
E02004301,3913,798,1190,1424,39
E02004302,3530,1072,1221,411,39
E02004303,5253,1590,2125,542,58
E02004304,3896,1176,1553,663,40
E02004305,3816,985,1354,1008,46
E02004306,2681,1158,930,355,40
E02004307,2878,953,1097,475,33
E02004308,2987,1333,1261,84,25
E02004309,2769,797,966,609,15
E02004310,3526,963,1296,899,30
E02004311,4118,1200,1598,986,32
E02004312,3409,1702,1201,151,29
E02004313,2957,595,532,1159,18
E02004314,2363,504,260,387,76
E02004315,3845,1444,1330,79,39
E02004316,2644,785,969,542,29
E02004317,3554,856,1094,1283,40
E02004318,2666,845,989,480,31
E02004319,3293,988,1267,724,25
E02004320,3851,1194,1701,551,68
E02004321,3662,1132,1309,540,46
E02004322,3769,782,937,1634,71
E02004323,3337,1047,1326,456,46
E02004324,2588,864,903,345,31
E02004325,3722,753,1117,1377,71
E02004326,2713,798,876,714,50
E02004327,2913,860,828,672,55
E02004328,3115,772,1208,789,48
E02004329,2807,878,1242,470,36
E02004330,2742,1016,860,520,26
E02004331,3084,918,1005,784,66
E02004332,3113,984,1220,538,55
E02004333,3195,1250,1207,511,29
E02004334,3192,894,1222,721,24
E02004335,2929,643,742,1029,30
E02004336,3264,828,965,1028,32
E02004337,4037,1215,1481,832,57
E02004338,3029,878,1050,624,31
E02004339,2997,1263,1106,306,33
E02004340,4812,1291,1404,1250,59
E02004341,3474,1096,1773,295,19
E02004342,2401,274,629,1099,16
E02004343,2492,615,889,759,25
E02004344,3244,994,1044,871,26
E02004345,5755,2355,1696,750,138
E02004346,2344,1015,534,156,100
E02004347,3012,1243,796,497,54
E02004348,3700,1591,1137,410,105
E02004349,4081,1117,1239,1259,63
E02004350,4378,1599,1686,381,66
E02004351,3135,784,878,1127,38
E02004352,3409,1038,1170,348,37
E02004353,3313,1425,1301,134,43
E02004354,3891,1192,1498,639,44
E02004355,3247,725,918,1246,45
E02002483,3847,1098,1850,559,32
E02002484,4553,734,1042,2147,72
E02002485,3474,730,994,1244,44
E02002487,2765,455,619,445,35
E02002488,2512,1019,1086,139,30
E02002489,3532,668,968,773,64
E02002490,2857,741,867,496,33
E02002491,2887,824,836,918,63
E02002492,2924,754,1020,833,52
E02002493,2698,1152,1095,215,29
E02002494,3399,688,802,1485,51
E02006909,4986,2227,2125,261,49
E02002496,4349,610,598,1278,111
E02002497,2815,465,651,877,78
E02002498,3820,629,612,680,86
E02002499,3005,561,796,1264,65
E02002500,2339,650,873,180,35
E02002501,2228,442,687,773,43
E02002502,4180,755,908,1987,103
E02002503,2567,563,895,798,34
E02002504,3719,1191,1602,130,56
E02002505,2531,420,726,1053,58
